League,Home,Away,Home Score,Away Score,Home xG,Away xG,Home League Score,Away League Score,Home Scorers,Away Scorers,Home Penalty Scorers,Away Penalty Scorers,Home Own Goal Scorers,Away Own Goal Scorers,Home Goals Minutes,Away Goals Minutes,Home Penalty Goals Minutes,Away Penalty Goals Minutes,Home Own Goal Minutes,Away Own Goal Minutes,Home Manager,Away Manager,Home Captain,Away Captain,Date,Venue Time,Attendance,Venue,Referee,AR1,AR2,Fourth Official,VAR,Home Formation,Away Formation,Home First Squad,Away First Squad,Home Bench,Away Bench,Home Fouls,Away Fouls,Home Corners,Away Corners,Home Crosses,Away Crosses,Home Touches,Away Touches,Home Tackles,Away Tackles,Home Interceptions,Away Interceptions,Home Aerials Won,Away Aerials Won,Home Clearances,Away Clearances,Home Offsides,Away Offsides,Home Goal Kicks,Away Goal Kicks,Home Throw Ins,Away Throw Ins,Home Long Balls,Away Long Balls,Home Yellow Cards,Home Red Cards,Away Yellow Cards,Away Red Cards
LaLiga,Valencia,Getafe,1,0,1.5,1.4,1-0-0,0-0-1,[],[],['Carlos Soler'],[],[],[],[],[],['11’'],[],[],[],Pepe Bordalás,Míchel,José Luis Gayà,Djené,8/13/2021,21:00,9868,"Estadio de Mestalla, Valencia",Jesús Gil,Ángel Nevado,Javier Martínez,Luis Bestard Servera,Ignacio Iglesias,4/4/2002,5/3/2002,"['Giorgi Mamardashvili', 'Thierry Correia', 'Gabriel Paulista', 'Hugo Guillamón', 'Gonçalo Guedes', 'Maxi Gómez', 'Carlos Soler', 'José Luis Gayà', 'Omar Alderete', 'Denis Cheryshev', 'Daniel Wass']","['David Soria', 'Djené', 'Erick Cabaco', 'Enes Ünal', 'Carles Aleñá', 'Sandro Ramírez', 'Mathías Olivera', 'Mauro Arambarri', 'Nemanja Maksimović', 'Damián Suárez', 'Stefan Mitrović']","['Cristian', 'Uroš Račić', 'Rubén Sobrino', 'Mouctar Diakhaby', 'Manu Vallejo', 'Jason', 'Koba Koindredi', 'Jesus Vazquez', 'Diego López', 'José Menargues', 'Alessandro Burlamaqui']","['Rubén Yáñez', 'Diego Conde', 'Ignasi Miquel', 'Chema', 'Jaime Mata', 'Vitolo', 'José Juan Macías', 'Hugo Duro', 'Marc Cucurella', 'Iglesias']",24,15,1,9,7,32,300,610,7,5,12,3,20,8,30,6,2,2,14,2,14,20,63,66,6,1,3,0
LaLiga,Mallorca,Real Betis,1,1,0.5,0.6,0-1-0,0-1-0,['Brian Oliván'],[],[],[],[],['Manolo Reina'],['25’'],[],[],[],[],['59’'],Luis García,Manuel Pellegrini,Manolo Reina,Sergio Canales,8/14/2021,19:30,6279,"Iberostar Estadi, Palma de Mallorca",Antonio Matéu Lahoz,Pau Cebrián Devis,Rubén Porras,Sergio Escriche,Juan Martínez,4/3/2003,4-2-3-1,"['Manolo Reina', 'Brian Oliván', 'Iñigo Ruiz de Galarreta', 'Jordi Mboula', 'Salva Sevilla', 'Iddrisu Baba', 'Dani Rodríguez', 'Pablo Maffeo', 'Antonio Raillo', 'Ángel Rodríguez', 'Martin Valjent']","['Rui Silva', 'Martín Montoya', 'Édgar González', 'Paul Akouokou', 'Víctor Ruiz', 'Nabil Fekir', 'Borja Iglesias', 'Sergio Canales', 'Álex Moreno', 'Aitor Ruibal', 'Rodri']","['Dominik Greif', 'Joan Sastre Vanrell', 'Franco Russo', 'Aleix Febas', 'Abdón Prats', 'Lago Junior', 'Rodrigo Battaglia', 'Takefusa Kubo', 'Aleksandar Sedlar', 'Amath', 'Pablo Gálvez', 'Victor Mollejo']","['Claudio Bravo', 'Juanmi', 'William Carvalho', 'Loren Morón', 'Joaquín', 'Andrés Guardado', 'Yassin Fekir', 'Guido Rodríguez', 'Roberto González', 'Fran Delgado', 'Calderón', 'Kike Hermoso']",12,18,3,3,13,18,413,689,17,11,6,10,10,11,18,13,3,0,10,8,17,15,50,63,1,0,3,0
LaLiga,Cádiz,Levante,1,1,0.6,0.9,0-1-0,0-1-0,['Alfonso Espino'],['José Luis Morales'],[],[],[],[],['90+7’'],['39’'],[],[],[],[],Álvaro Cervera,Paco López,Salvi,José Luis Morales,8/14/2021,19:30,6941,"Estadio Nuevo Mirandilla, Cádiz",Santiago Jaime,Jorge Bueno,Fernando Tresaco Escabosa,Antonio Sánchez,José González,4-2-3-1,4/4/2002,"['Jeremías Ledesma', 'Jens Jønsson', 'Fali', 'Varazdat Haroyan', 'Salvi', 'Álex Fernández', 'Anthony Lozano', 'Tomás Alarcón', 'Carlos Akapo', 'Álvaro Negredo', 'Alfonso Espino']","['Aitor Fernández', 'Son', 'Rober', 'Óscar Duarte', 'Roger Martí', 'José Luis Morales', 'Roberto Soldado', 'Jorge de Frutos', 'Carlos Clerc', 'Gonzalo Melero', 'José Campaña']","['David Gil', 'Juan Flere', 'Marcos Mauro López Gutiérrez', 'Alberto Perea', 'Álvaro Jiménez', 'Cala', 'Isaac Carcelen', 'Chapela', 'Martín', 'Milutin Osmajić', 'Álvaro Bastida', 'Víctor Chust']","['Cárdenas', 'Enric Franquesa', 'Nemanja Radoja', 'Enis Bardhi', 'Mickael Malsa', 'Rúben Vezo', 'Nikola Vukčević', 'Jorge Miramón', 'Dani Gómez', 'Coke', 'Pablo Martínez', 'Álex Cantero']",10,16,2,4,19,19,430,561,14,11,11,12,20,13,17,14,1,1,18,14,18,19,79,61,1,0,5,0
LaLiga,Alavés,Real Madrid,1,4,1.7,1.7,0-0-1,1-0-0,[],"['Karim Benzema', 'Nacho', 'Karim Benzema', 'Vinicius Júnior']",['Joselu'],[],[],[],[],"['48’', '56’', '62’', '90+2’']",['65’'],[],[],[],Javier Calleja,Carlo Ancelotti,Víctor Laguardia,Karim Benzema,8/14/2021,22:00,3968,"Estadio de Mendizorroza, Vitoria-Gasteiz",César Soto,Carlos Álvarez,Julián Villaseñor,Álvaro López,Xavi Estrada,4-2-3-1,4/3/2003,"['Fernando Pacheco', 'Rubén Duarte', 'Víctor Laguardia', 'Tomás Pina Isla', 'Joselu', 'Luis Rioja', 'Manu García', 'Édgar Méndez', 'Pere Pons', 'Martin Agirregabiria', 'Florian Lejeune']","['Thibaut Courtois', 'Éder Militão', 'David Alaba', 'Nacho', 'Eden Hazard', 'Karim Benzema', 'Luka Modrić', 'Casemiro', 'Federico Valverde', 'Lucas Vázquez', 'Gareth Bale']","['Antonio Sivera', 'Tachi', ""Mamadou N'Diaye"", 'Lucas Pérez', 'John Guidetti', 'Saúl García', 'Toni Moya', 'Facundo Pellistri', 'Iván Martín', 'Abdel Abqar', 'Javi López', 'Taichi Hara']","['Andriy Lunin', 'Toni Fuidias', 'Marco Asensio', 'Luka Jović', 'Álvaro Odriozola', 'Vinicius Júnior', 'Rodrygo', 'Isco', 'Blanco', 'Miguel Gutiérrez']",14,10,0,4,18,13,511,721,8,10,8,16,12,3,14,7,1,2,13,10,23,12,62,63,1,0,2,0
LaLiga,Osasuna,Espanyol,0,0,0.9,0.5,0-1-0,0-1-0,[],[],[],[],[],[],[],[],[],[],[],[],Jagoba Arrasate,Vicente Moreno,David García,David López,8/14/2021,22:00,6715,"Estadio El Sadar, Pamplona",Miguel Ángel Ortiz Arias,Alejandro Estevez Iglesias,Iker De Francisco,Aimar Velasco,Carlos del Cerro,4/4/2002,4/4/2002,"['Sergio Herrera', 'Nacho Vidal', 'Unai García', 'David García', 'Jon Moncayola', 'Darko Brašanac', 'Kike Barja', 'Rubén García', 'Ante Budimir', 'Kiké', 'Lucas Torró']","['Diego López', 'Adrià Pedrosa', 'Leandro Cabrera', 'Wu Lei', 'Fran Mérida', 'Raúl de Tomás', 'Óscar Gil', 'David López', 'Adri Embarba', 'Sergi Gómez', 'Nico Ribaudo']","['Juan Pérez', 'Yoel Ramírez', 'Juan Cruz Armada', 'Oier Sanjurjo', 'Ezequiel Ávila', 'Roberto Torres', 'Jonás Ramalho', 'Barbero', 'Iñigo Pérez', 'Javi Martínez', 'Unai Dufur', 'Jesús Areso']","['Oier Olazábal', 'Joan García', 'Miguel Juan Llambrich', 'Fernando Calero', 'Javi Puado', 'Óscar Melendo', 'Dídac Vilà', 'Landry Dimata', 'Álvaro Vadillo', 'Keidi Bare', 'Victor Gomez', 'Gori']",18,12,4,6,36,18,558,511,20,19,6,6,32,25,15,22,1,3,8,15,22,20,75,93,3,0,3,0
LaLiga,Celta Vigo,Atlético Madrid,1,2,2.3,1.5,0-0-1,1-0-0,[],"['Ángel Correa', 'Ángel Correa']",['Iago Aspas'],[],[],[],[],"['23’', '64’']",['59’'],[],[],[],Eduardo Coudet,Diego Simeone,Hugo Mallo,Koke,8/15/2021,17:30,5401,"Estadio de Balaídos, Vigo",José Luis Munuera,Iñigo Prieto,Antonio Martínez,Miguel González,David Medié,4-1-3-2,3-1-4-2,"['Matías Dituro', 'Hugo Mallo', 'Néstor Araujo', 'Denis Suárez', 'Nolito', 'Iago Aspas', 'Renato Tapia', 'Javi Galán', 'José Fontán', 'Santi Mina', 'Brais Méndez']","['Jan Oblak', 'José María Giménez', 'Geoffrey Kondogbia', 'Koke', 'Saúl Ñíguez', 'Ángel Correa', 'Thomas Lemar', 'Marcos Llorente', 'Stefan Savić', 'Yannick Carrasco', 'Mario Hermoso']","['Rubén Blanco', 'Fran Beltrán', 'Franco Cervi', 'Joseph Aidoo', 'Miguel Baeza', 'Kevin Vázquez', 'Augusto Solari', 'Carlos Dominguez']","['Ivo Grbić', 'Rodrigo De Paul', 'Luis Suárez', 'Renan Lodi', 'Kieran Trippier', 'Šime Vrsaljko', 'Javier Serrano', 'Giuliano Simeone', 'Sergio Camello']",11,9,2,5,21,9,641,576,19,12,11,4,5,20,16,26,1,1,7,5,21,25,66,82,4,1,5,1
LaLiga,Barcelona,Real Sociedad,4,2,2.8,0.8,1-0-0,0-0-1,"['Gerard Piqué', 'Martin Braithwaite', 'Martin Braithwaite', 'Sergi Roberto']","['Julen Lobete', 'Mikel Oyarzabal']",[],[],[],[],"['19’', '45+2’', '59’', '90+1’']","['82’', '85’']",[],[],[],[],Ronald Koeman,Imanol Alguacil,Sergio Busquets,Mikel Oyarzabal,8/15/2021,20:00,20384,"Camp Nou, Barcelona",Alejandro Hernández,José Naranjo,Diego Sánchez,Alonso De Ena Wolf,José González,4/3/2003,4-2-3-1,"['Neto', 'Sergiño Dest', 'Gerard Piqué', 'Sergio Busquets', 'Antoine Griezmann', 'Memphis', 'Martin Braithwaite', 'Pedri', 'Jordi Alba', 'Frenkie de Jong', 'Eric García']","['Álex Remiro', 'Joseba Zaldúa', 'Martín Zubimendi', 'Aritz Elustondo', 'Portu', 'Mikel Merino', 'Mikel Oyarzabal', 'Adnan Januzaj', 'Aihen Muñoz', 'David Silva', 'Robin Le Normand']","['Iñaki Peña', 'Arnau Tenas', 'Ronald Araújo', 'Riqui Puig', 'Rey Manaj', 'Clément Lenglet', 'Sergi Roberto', 'Emerson', 'Yusuf Demir', 'Nicolás González', 'Gavi', 'Alejandro Balde']","['Gaizka Ayesa', 'Asier Illarramendi', 'Ander Guevara', 'Andoni Gorosabel', 'Ander Barrenetxea', 'Jon Bautista', 'Jon Pacheco', 'Beñat Turrientes', 'Roberto Navarro', 'Julen Lobete']",11,18,5,3,11,10,702,465,20,22,14,5,11,13,12,19,1,2,7,3,37,21,60,38,2,0,4,0
LaLiga,Sevilla,Rayo Vallecano,3,0,3.7,0.4,1-0-0,0-0-1,"['Érik Lamela', 'Érik Lamela']",[],['Youssef En-Nesyri'],[],[],[],"['55’', '79’']",[],['19’'],[],[],[],Lopetegui,Andoni Iraola,Jesús Navas,Óscar Trejo,8/15/2021,22:15,13962,"Estadio Ramón Sánchez Pizjuán, Sevilla",Isidro Díaz de Mera,Rubén Becerril,Dieg Aguado,Víctor Pérez,Ignacio Iglesias,3/4/2003,4-2-3-1,"['Marko Dmitrović', 'Karim Rekik', 'Joan Jordán', 'Óscar Rodríguez Arnaiz', 'Youssef En-Nesyri', 'Jesús Navas', 'Marcos Acuña', 'Diego Carlos', 'Oussama Idrissi', 'Jules Koundé', 'Fernando']","['Luca Zidane', 'Mario Suárez', 'Catena', 'Santi Comesaña', 'Isaac Palazón Camacho', 'Óscar Trejo', 'Randy Ntekja', 'Álvaro García', 'Iván Balliu', 'Óscar Valentín', 'Fran Garcia']","['Javier Díaz', 'Alfonso Pastor', 'Nemanja Gudelj', 'Luuk de Jong', 'Munir El Haddadi', 'Érik Lamela', 'Alejandro Pozo Pozo', 'Papu Gómez', 'Pablo Pérez', 'Carmona', 'Pedro Ortiz', 'Iván Romero']","['Stole Dimitrievski', 'Morro', 'Bebé', 'Andrés Martín', 'Yacine Qasmi', 'Martín Merquelanz', 'Pathé Ciss', 'Esteban Saveljich', 'Iker Recio', 'Jorge Moreno', 'Sergio Moreno', 'Mario Hernández']",14,7,4,0,15,4,872,345,10,10,5,11,9,13,13,12,1,1,2,9,16,21,70,58,1,0,0,1
LaLiga,Villarreal,Granada,0,0,1.1,0.3,0-1-0,0-1-0,[],[],[],[],[],[],[],[],[],[],[],[],Unai Emery,Robert Moreno,Raúl Albiol,Germán Sánchez,8/16/2021,20:00,7837,"Estadio de la Cerámica, Villarreal",Pablo González,Alfredo Rodríguez,Israel Bárcena,Albert Catalá,José Sánchez,4/4/2002,4/3/2003,"['Gerónimo Rulli', 'Raúl Albiol', 'Étienne Capoue', 'Gerard Moreno', 'Juan Foyth', 'Manu Trigueros', 'Boulaye Dia', 'Alberto Moreno', 'Aïssa Mandi', 'Alfonso Pedraza', 'Yeremi Pino']","['Aarón Escandell', 'Dimitri Foulquier', 'Maxime Gonalons', 'Luis Milla', 'Germán Sánchez', 'Luis Javier Suárez', 'Antonio Puertas', 'Darwin Machís', 'Monchu', 'Carlos Neva', 'Domingos Duarte']","['Sergio Asenjo', 'Mario Gaspar', 'Paco Alcácer', 'Vicente Iborra', 'Pervis Estupiñán', 'Dani Raba', 'Francis Coquelin', 'Rubén Peña', 'Moi Gómez', 'Jorge Cuenca']","['Ángel', 'Cheikh Kané Sarr', 'Alberto Soro', 'Víctor Díaz', 'Quini', 'Luis Abram', 'Ángel Montoro', 'Carlos Bacca', 'Jorge Molina', 'Isma Ruiz', 'Raúl Torrente']",19,21,6,2,21,16,605,442,19,16,9,19,21,11,9,18,1,0,6,10,24,13,58,72,5,0,1,0
LaLiga,Elche,Athletic Club,0,0,1.1,0.6,0-1-0,0-1-0,[],[],[],[],[],[],[],[],[],[],[],[],Fran Escribá,Marcelino,Gonzalo Verdú,Iker Muniain,8/16/2021,22:00,9145,"Estadio Manuel Martínez Valero, Elche",Adrián Cordero,Raúl Cabañero,José Naranjo,Salvador Lax,Xavi Estrada,3/5/2002,4/4/2002,"['Kiko Casilla', 'Enzo Roco', 'Gonzalo Verdú', 'Pedro Bigas', 'Raúl Guti', 'Lucas Boyé', 'Pere Milla', 'Fidel', 'Josan', 'Johan Mojica', 'Iván Marcone']","['Julen Agirrezabala', 'Iñigo Martínez', 'Álex Berenguer', 'Oihan Sancet', 'Iñaki Williams', 'Iker Muniain', 'Dani García', 'Unai Vencedor Paris', 'Óscar de Marcos', 'Mikel Balenziaga', 'Daniel Vivian']","['Édgar Badía', 'Lluis Andreu', 'Diego González', 'Guido Carrillo', 'Tete Morente', 'Helibelton Palacios', 'Antonio Barragán', 'Josema', 'John Donald', 'Diego Bri', 'César']","['Jokin Ezkieta', 'Unai Núñez', 'Mikel Vesga', 'Jon Morcillo', 'Iñigo Lekue', 'Oier Zarraga', 'Asier Villalibre', 'Nico Williams', 'Nicolás Serrano']",13,19,6,8,22,22,533,514,7,9,8,7,10,16,26,16,5,1,9,7,19,15,83,63,2,0,2,0
LaLiga,Real Betis,Cádiz,1,1,1.1,1.6,0-2-0,0-2-0,['Juanmi'],[],[],['Álvaro Negredo'],[],[],['22’'],[],[],['11’'],[],[],Manuel Pellegrini,Álvaro Cervera,Andrés Guardado,Salvi,8/20/2021,21:00,23745,"Estadio Benito Villamarín, Sevilla",Valentín Pizarro,José Garrido,Iván Masso Granado,Alexandre Alemán,Ignacio Iglesias,4-2-3-1,4/4/2002,"['Rui Silva', 'Martín Montoya', 'Édgar González', 'Víctor Ruiz', 'Juanmi', 'Nabil Fekir', 'Borja Iglesias', 'Sergio Canales', 'Andrés Guardado', 'Rodri', 'Juan Miranda']","['Jeremías Ledesma', 'Jens Jønsson', 'Fali', 'Varazdat Haroyan', 'Salvi', 'Anthony Lozano', 'Alberto Perea', 'Tomás Alarcón', 'Carlos Akapo', 'Álvaro Negredo', 'Alfonso Espino']","['Claudio Bravo', 'Paul Akouokou', 'Cristian Tello', 'Sidnei', 'William Carvalho', 'Loren Morón', 'Joaquín', 'Yassin Fekir', 'Guido Rodríguez', 'Aitor Ruibal', 'Fran Delgado', 'Calderón']","['David Gil', 'Juan Flere', 'Marcos Mauro López Gutiérrez', 'Álex Fernández', 'Álvaro Jiménez', 'Cala', 'Isaac Carcelen', 'Chapela', 'Martín', 'Milutin Osmajić', 'Álvaro Bastida', 'Víctor Chust']",12,10,4,5,21,25,810,370,14,23,10,12,16,18,19,24,0,0,4,12,18,24,51,79,4,0,0,0
LaLiga,Alavés,Mallorca,0,1,0.5,0.7,0-0-2,1/1/2000,[],['Fernando Niño'],[],[],[],[],[],['80’'],[],[],[],[],Javier Calleja,Luis García,Víctor Laguardia,Manolo Reina,8/21/2021,17:00,2896,"Estadio de Mendizorroza, Vitoria-Gasteiz",Alejandro Muñíz,Marcos Cerdán Aguilar,Ignacio Alonso,Jaime Ruiz,David Medié,4-2-3-1,4-2-3-1,"['Fernando Pacheco', 'Rubén Duarte', 'Víctor Laguardia', 'Tomás Pina Isla', 'Joselu', 'Luis Rioja', 'Manu García', 'Édgar Méndez', 'Pere Pons', 'Florian Lejeune', 'Ximo Navarro']","['Manolo Reina', 'Brian Oliván', 'Iñigo Ruiz de Galarreta', 'Franco Russo', 'Jordi Mboula', 'Abdón Prats', 'Iddrisu Baba', 'Dani Rodríguez', 'Pablo Maffeo', 'Takefusa Kubo', 'Martin Valjent']","['Antonio Sivera', 'Tachi', ""Mamadou N'Diaye"", 'John Guidetti', 'Saúl García', 'Toni Moya', 'Facundo Pellistri', 'Iván Martín', 'Martin Agirregabiria', 'Abdel Abqar', 'Javi López']","['Dominik Greif', 'Leonardo Román', 'Aleix Febas', 'Salva Sevilla', 'Lago Junior', 'Rodrigo Battaglia', 'Aleksandar Sedlar', 'Ángel Rodríguez', 'Amath', 'Fernando Niño', 'Josep Antoni Gayá', 'Victor Mollejo']",14,15,1,8,12,12,455,514,24,8,6,5,11,19,24,29,0,2,11,7,17,35,84,72,3,0,3,0
LaLiga,Espanyol,Villarreal,0,0,1.3,0.6,0-2-0,0-2-0,[],[],[],[],[],[],[],[],[],[],[],[],Vicente Moreno,Unai Emery,David López,Raúl Albiol,8/21/2021,19:30,11095,"RCDE Stadium, Cornellà de Llobregat",Jorge Figueroa,Guadalupe Porras,Álvaro Carreño,Manuel Orellana,José Luis Munuera,4/4/2002,4/4/2002,"['Diego López', 'Adrià Pedrosa', 'Leandro Cabrera', 'Javi Puado', 'Sergi Darder', 'Raúl de Tomás', 'Óscar Gil', 'David López', 'Landry Dimata', 'Adri Embarba', 'Sergi Gómez']","['Gerónimo Rulli', 'Raúl Albiol', 'Étienne Capoue', 'Gerard Moreno', 'Juan Foyth', 'Manu Trigueros', 'Boulaye Dia', 'Alberto Moreno', 'Aïssa Mandi', 'Moi Gómez', 'Alfonso Pedraza']","['Oier Olazábal', 'Miguel Juan Llambrich', 'Fernando Calero', 'Manu Morlanes', 'Wu Lei', 'Fran Mérida', 'Óscar Melendo', 'Dídac Vilà', 'Álvaro Vadillo', 'Keidi Bare', 'Gori', 'Nico Ribaudo']","['Sergio Asenjo', 'Mario Gaspar', 'Paco Alcácer', 'Vicente Iborra', 'Pervis Estupiñán', 'Arnaut Danjuma', 'Dani Raba', 'Francis Coquelin', 'Rubén Peña', 'Jorge Cuenca', 'Yeremi Pino']",10,10,9,7,21,14,411,556,12,8,10,9,9,13,26,25,3,3,7,9,14,12,57,36,3,0,4,0
