URL,League,Home,Away,Home Score,Away Score,Home xG,Away xG,Home League Score,Away League Score,Home Scorers,Away Scorers,Home Penalty Scorers,Away Penalty Scorers,Home Own Goal Scorers,Away Own Goal Scorers,Home Goals Minutes,Away Goals Minutes,Home Penalty Goals Minutes,Away Penalty Goals Minutes,Home Own Goal Minutes,Away Own Goal Minutes,Home Manager,Away Manager,Home Captain,Away Captain,Date,Venue Time,Attendance,Venue,Referee,AR1,AR2,Fourth Official,VAR,Home Formation,Away Formation,Home First Squad,Away First Squad,Home Bench,Away Bench,Home Fouls,Away Fouls,Home Corners,Away Corners,Home Crosses,Away Crosses,Home Touches,Away Touches,Home Tackles,Away Tackles,Home Interceptions,Away Interceptions,Home Aerials Won,Away Aerials Won,Home Clearances,Away Clearances,Home Offsides,Away Offsides,Home Goal Kicks,Away Goal Kicks,Home Throw Ins,Away Throw Ins,Home Long Balls,Away Long Balls,Home Yellow Cards,Home Red Cards,Away Yellow Cards,Away Red Cards
https://fbref.com/en/matches/5c162318/Internazionale-Genoa-August-21-2021-Serie-A,Serie A,Internazionale,Genoa,4,0,1.6,1.1,1-0-0,0-0-1,"['Milan Škriniar', 'Hakan Çalhanoğlu', 'Arturo Vidal', 'Edin Džeko']",[],[],[],[],[],"['6’', '14’', '74’', '87’']",[],[],[],[],[],Simone Inzaghi,Davide Ballardini,Samir Handanović,Domenico Criscito,2021-08-21,18:30,27402,"Stadio Giuseppe Meazza, Milano",Valerio Marini,Stefano Liberti,Valerio Vecchi,Matteo Marchetti,Paolo Valeri,3-5-1-1,3-4-1-2,"['Samir Handanović', 'Stefan de Vrij', 'Edin Džeko', 'Stefano Sensi', 'Ivan Perišić', 'Hakan Çalhanoğlu', 'Nicolò Barella', 'Matteo Darmian', 'Milan Škriniar', 'Marcelo Brozović', 'Alessandro Bastoni']","['Salvatore Sirigu', 'Zinho Vanheusden', 'Domenico Criscito', 'Davide Biraschi', 'Goran Pandev', 'Stefano Sturaro', 'Hernani', 'Milan Badelj', 'Andrea Cambiaso', 'Nicolò Rovella', 'Yayah Kallon']","['Alex Cordaz', 'Ionuț Radu', 'Denzel Dumfries', 'Matías Vecino', 'Aleksandar Kolarov', 'Andrea Ranocchia', 'Lucien Agoume', 'Arturo Vidal', 'Federico Dimarco', ""Danilo D'Ambrosio"", 'Martin Satriano', 'Andrea Pinamonti']","['Federico Marchetti', 'Stefano Sabelli', 'Andrea Masiello', 'Andrea Favilli', 'Filippo Melegoni', 'Caleb Ekuban', 'Flavio Junior Bianchi', 'Aleksander Buksa', 'Laurens Serpe', 'Kevin Agudelo', 'Steeve-Mike Ebongue', 'Manolo Portanova']",18,7,8,2,25,11,729,533,18,13,5,15,8,8,14,24,2,2,7,9,15,12,60,43,1,0,2,0
https://fbref.com/en/matches/81074285/Hellas-Verona-Sassuolo-August-21-2021-Serie-A,Serie A,Hellas Verona,Sassuolo,2,3,2.4,1.6,0-0-1,1-0-0,['Mattia Zaccagni'],"['Giacomo Raspadori', 'Filip Đuričić', 'Hamed Junior Traorè']",['Mattia Zaccagni'],[],[],[],['90’'],"['32’', '51’', '77’']",['71’'],[],[],[],Eusebio Di Francesco,Alessio Dionisi,Miguel Veloso,Gian Marco Ferrari,2021-08-21,18:30,5448,"Stadio Marc'Antonio Bentegodi, Verona",Manuel Volpi,Mattia Scarpa,Giuseppe Perrotti,Luca Zufferli,Paolo Mazzoleni,3-4-3,4-2-3-1,"['Ivor Pandur', 'Miguel Veloso', 'Antonín Barák', 'Darko Lazović', 'Nikola Kalinić', 'Mattia Zaccagni', 'Nicolò Casale', 'Federico Ceccherini', 'Koray Günter', 'Paweł Dawidowicz', 'Martin Hongla']","['Andrea Consigli', 'Rogério', 'Jeremie Boga', 'Maxime Lopez', 'Francesco Caputo', 'Filip Đuričić', 'Davide Frattesi', 'Giacomo Raspadori', 'Vlad Chiricheș', 'Jeremy Toljan', 'Gian Marco Ferrari']","['Alessandro Berardi', 'Lorenzo Montipò', 'Ivan Ilić', 'Yıldırım Mert Çetin', 'Matteo Cancellieri', 'Kevin Rüegg', 'Giangiacomo Magnani', 'Daniel Bessa', 'Gianluca Frabotta', 'Antonino Ragusa', 'Adrien Tameze', 'Samuel Di Carmine']","['Giacomo Satalino', 'Gianluca Pegolo', 'Francesco Magnanelli', 'Kaan Ayhan', 'Lukáš Haraslín', 'Federico Peluso', 'Mert Müldür', 'Hamed Junior Traorè', 'Brian Oddei', 'Gianluca Scamacca', 'Grégoire Defrel']",11,12,7,4,26,5,436,634,12,7,7,5,9,9,9,18,0,1,6,12,14,6,62,50,3,0,2,0
https://fbref.com/en/matches/0465e44e/Torino-Atalanta-August-21-2021-Serie-A,Serie A,Torino,Atalanta,1,2,1.3,0.7,0-0-1,1-0-0,['Andrea Belotti'],"['Luis Muriel', 'Roberto Piccoli']",[],[],[],[],['79’'],"['6’', '90+3’']",[],[],[],[],Ivan Jurić,Gian Piero Gasperini,Rolando Mandragora,José Luis Palomino,2021-08-21,20:45,3475,"Stadio Olimpico di Torino, Torino",Daniele Chiffi,Mauro Galetto,Antonio Vono,Daniele Minelli,Rosario Abisso,3-4-3,3-4-3,"['Vanja Milinković-Savić', 'Gleison Bremer', 'Saša Lukić', 'Marko Pjaca', 'Ricardo Rodríguez', 'Wilfried Singo', 'Antonio Sanabria', 'Koffi Djidji', 'Ola Aina', 'Rolando Mandragora', 'Karol Linetty']","['Juan Musso', 'Joakim Mæhle', 'José Luis Palomino', 'Robin Gosens', 'Luis Muriel', 'Ruslan Malinovskyi', 'Berat Djimsiti', 'Merih Demiral', 'Matteo Pessina', 'Josip Iličić', 'Mario Pašalić']","['Etrit Berisha', 'Luca Gemello', 'Armando Izzo', 'Jacopo Segre', 'Daniele Baselli', 'Andrea Belotti', 'Nicola Rauti', 'Simone Verdi', 'Mërgim Vojvoda', 'Magnus Warming', 'Tomás Rincón', 'Alessandro Buongiorno']","['Francesco Rossi', 'Marco Sportiello', 'Bosko Sutalo', 'Sam Lammers', 'Giuseppe Pezzella', 'Giorgio Scalvini', 'Aleksei Miranchuk', 'Jacopo Da Riva', 'Matteo Lovato', 'Roberto Piccoli']",17,13,5,1,16,4,547,580,14,17,13,8,23,43,9,25,0,0,1,9,18,28,89,77,2,0,2,0
https://fbref.com/en/matches/e057a19f/Empoli-Lazio-August-21-2021-Serie-A,Serie A,Empoli,Lazio,1,3,1.2,1.5,0-0-1,1-0-0,['Filippo Bandinelli'],"['Sergej Milinković-Savić', 'Manuel Lazzari']",[],['Ciro Immobile'],[],[],['4’'],"['6’', '31’']",[],['41’'],[],[],Aurelio Andreazzoli,Maurizio Sarri,Simone Romagnoli,Ciro Immobile,2021-08-21,20:45,3655,"Stadio Carlo Castellani, Empoli",Simone Sozza,Alessio Tolfo,Damiano Di Iorio,Alberto Santoro,Luigi Nasca,4-1-2-1-2,4-3-3,"['Guglielmo Vicario', 'Riccardo Marchizza', 'Simone Romagnoli', 'Leonardo Mancuso', 'Patrick Cutrone', 'Nedim Bajrami', 'Filippo Bandinelli', 'Samuele Ricci', 'Petar Stojanović', 'Nicolas Haas', 'Ardian Ismajli']","['Pepe Reina', 'Luiz Felipe', 'Lucas Leiva', 'Felipe Anderson', 'Jean-Daniel Akpa-Akpro', 'Pedro', 'Ciro Immobile', 'Sergej Milinković-Savić', 'Elseid Hysaj', 'Manuel Lazzari', 'Francesco Acerbi']","['Alberto Brignoli', 'Simone Canestrelli', 'Leo Štulac', 'Liam Henderson', 'Giovanni Crociata', 'Emmanuel Ekong', 'Andrea La Mantia', 'Riccardo Fiamozzi', 'Kristjan Asllani', 'Szymon Żurkowski', 'Sebastiano Luperto', 'Mattia Viti']","['Thomas Strakosha', 'Marius Adamonis', 'Patric', 'Gonzalo Escalante', 'Luis Alberto', 'Luka Romero', 'Felipe Caicedo', 'Ștefan Radu', 'Raúl Moro', 'Anderson Lima', 'Adam Marušić', 'Vedat Muriqi']",13,10,5,3,20,11,613,716,23,26,12,15,6,7,14,17,2,0,4,9,28,15,63,67,2,0,1,0
https://fbref.com/en/matches/015e7a96/Bologna-Salernitana-August-22-2021-Serie-A,Serie A,Bologna,Salernitana,3,2,1.6,1.5,1-0-0,0-0-1,"['Lorenzo De Silvestri', 'Marko Arnautović', 'Lorenzo De Silvestri']",['Mamadou Coulibaly'],[],['Federico Bonazzoli'],[],[],"['59’', '75’', '77’']",['70’'],[],['52’'],[],[],Siniša Mihajlović,Fabrizio Castori,Roberto Soriano,Milan Đurić,2021-08-22,18:30,8375,"Stadio Renato Dall'Ara, Bologna",Antonio Rapuano,Valerio Colarossi,Domenico Palermo,Daniele Paterna,Paolo Valeri,4-2-3-1,3-5-2,"['Łukasz Skorupski', 'Aaron Hickey', 'Kevin Bonifazi', 'Riccardo Orsolini', 'Nicolás Domínguez', 'Marko Arnautović', 'Gary Medel', 'Roberto Soriano', 'Lorenzo De Silvestri', 'Jerdy Schouten', 'Musa Barrow']","['Vid Belec', 'Mamadou Coulibaly', 'Matteo Ruggeri', 'Paweł Jaroszyński', 'Stefan Strandberg', 'Federico Bonazzoli', 'Milan Đurić', 'Lassana Coulibaly', 'Norbert Gyömbér', 'Wajdi Kechrida', 'Leonardo Capezzi']","['Francesco Bardi', 'Adama Soumaoro', 'Wisdom Amey', 'Nicola Sansone', 'Andreas Skov Olsen', 'Ibrahima Mbaye', 'Kingsley Michael', 'Sydney van Hooijdonk', 'Mattias Svanberg', 'Emanuel Vignato', 'Omar Khailoti', 'Ebenezer Annan']","['Vincenzo Fiorillo', 'Jacopo De Matteis', 'Andrea Schiavone', 'Ramzi Aya', 'Carmine Iannone', 'Julian Kristoffersen', 'Grigoris Kastanos', 'Nadir Zortea', 'Joel Obi', 'Simeon Nwankwo', 'Luka Bogdan']",13,15,9,4,18,16,698,344,12,15,6,7,17,15,23,26,0,2,6,7,18,27,46,75,6,0,3,0
https://fbref.com/en/matches/3d5b1245/Udinese-Juventus-August-22-2021-Serie-A,Serie A,Udinese,Juventus,2,2,1.6,0.8,0-1-0,0-1-0,['Gerard Deulofeu'],"['Paulo Dybala', 'Juan Cuadrado']",['Roberto Pereyra'],[],[],[],['83’'],"['3’', '23’']",['51’'],[],[],[],Luca Gotti,Massimiliano Allegri,Bram Nuytinck,Paulo Dybala,2021-08-22,18:30,9660,"Dacia Arena, Udine",Ivan Pezzuto,Giacomo Paganessi,Salvatore Longo,Alessandro Prontera,Maurizio Mariani,3-5-1-1,4-4-2,"['Marco Silvestri', 'Samir Santos', 'Tolgay Arslan', 'Jean-Victor Makengo', 'Walace', 'Destiny Udogie', 'Nahuel Molina', 'Bram Nuytinck', 'Ignacio Pussetto', 'Roberto Pereyra', 'Rodrigo Becão']","['Wojciech Szczęsny', 'Matthijs de Ligt', 'Danilo', 'Aaron Ramsey', 'Álvaro Morata', 'Paulo Dybala', 'Juan Cuadrado', 'Alex Sandro', 'Leonardo Bonucci', 'Federico Bernardeschi', 'Rodrigo Bentancur']","['Daniele Padelli', 'Simone Scuffet', 'Marvin Zeegelaar', 'Stefano Okaka', 'Mato Jajalo', 'Cristo González', 'Gerard Deulofeu', 'Jens Stryger Larsen', 'Martin Palumbo', 'Lazar Samardzic', 'Simone Ianesi', 'Sebastien De Maio']","['Carlo Pinsoglio', 'Mattia Perin', 'Mattia De Sciglio', 'Giorgio Chiellini', 'Cristiano Ronaldo', 'Luca Pellegrini', 'Kaio Jorge', 'Federico Chiesa', 'Daniele Rugani', 'Manuel Locatelli', 'Filippo Ranocchia', 'Dejan Kulusevski']",13,14,3,3,17,8,519,644,11,12,8,13,9,8,6,13,2,3,6,5,19,22,42,71,1,0,3,0
https://fbref.com/en/matches/cca0edfd/Napoli-Venezia-August-22-2021-Serie-A,Serie A,Napoli,Venezia,2,0,2.2,0.6,1-0-0,0-0-1,['Elif Elmas'],[],['Lorenzo Insigne'],[],[],[],['73’'],[],['62’'],[],[],[],Luciano Spalletti,Paolo Zanetti,Lorenzo Insigne,Cristian Molinaro,2021-08-22,20:45,20000,"Stadio Diego Armando Maradona, Napoli",Gianluca Aureliano,Davide Imperiale,Filippo Bercigli,Cosso Cosso,Aleandro Di Paolo,4-3-3,4-3-3,"['Alex Meret', 'Mário Rui', 'Fabián Ruiz Peña', 'Victor Osimhen', 'Piotr Zieliński', 'Matteo Politano', 'Giovanni Di Lorenzo', 'Lorenzo Insigne', 'Kalidou Koulibaly', 'Kostas Manolas', 'Stanislav Lobotka']","['Niki Mäenpää', 'Cristian Molinaro', 'Francesco Forte', 'Luca Fiordilino', 'Dennis Johnsen', 'Daan Heymans', 'Francesco Di Mariano', 'Tyronne Ebuehi', 'Mattia Caldara', 'Pietro Ceccaroni', 'Dor Peretz']","['Davide Marfella', 'David Ospina', 'Kévin Malcuit', 'Juan Jesus', 'Elif Elmas', 'Hirving Lozano', 'Amir Rrahmani', 'Luca Palmiero', 'Adam Ounas', 'Andrea Petagna', 'Alessandro Zanoli', 'Gianluca Gaetano']","['Luca Lezzerini', 'Bruno', 'Jacopo Dezi', 'Tanner Tessmann', 'Arnór Sigurðsson', 'Bjarki Bjarkason', 'Óttar Magnús Karlsson', 'Nicolas Galazzi', 'David Schnegg', 'Michael Svoboda']",5,22,2,2,7,17,662,536,13,10,12,10,5,5,9,5,3,1,8,7,14,14,39,42,1,1,7,0
https://fbref.com/en/matches/dabdad9f/Roma-Fiorentina-August-22-2021-Serie-A,Serie A,Roma,Fiorentina,3,1,2.7,1.3,1-0-0,0-0-1,"['Henrikh Mkhitaryan', 'Jordan Veretout', 'Jordan Veretout']",['Nikola Milenković'],[],[],[],[],"['26’', '64’', '79’']",['60’'],[],[],[],[],José Mourinho,Vincenzo Italiano,Lorenzo Pellegrini,Cristiano Biraghi,2021-08-22,20:45,26997,"Stadio Olimpico, Roma",Luca Pairetto,Alberto Tegoni,Luigi Rossi,Antonio Di Martino,Paolo Mazzoleni,4-2-3-1,4-3-3,"['Rui Patrício', 'Rick Karsdorp', 'Roger Ibanez', 'Bryan Cristante', 'Matías Viña', 'Lorenzo Pellegrini', 'Tammy Abraham', 'Jordan Veretout', 'Nicolò Zaniolo', 'Gianluca Mancini', 'Henrikh Mkhitaryan']","['Bartłomiej Drągowski', 'Cristiano Biraghi', 'Nikola Milenković', 'Giacomo Bonaventura', 'José Callejón', 'Dušan Vlahović', 'Youssef Maleh', 'Erick Pulgar', 'Nicolás González', 'Lorenzo Venuti', 'Igor']","['Daniel Fuzato', 'Gonzalo Villar', 'Carles Pérez', 'Riccardo Calafiori', 'Eldor Shomurodov', 'Bryan Reynolds', 'Borja Mayoral', 'Marash Kumbulla', 'Amadou Diawara', 'Edoardo Bove', 'Nicola Zalewski', 'Stephan El Shaarawy']","['Pietro Terracciano', 'Lucas Martínez Quarta', 'Riccardo Saponara', 'Gaetano Castrovilli', 'Aleksa Terzić', 'Marco Benassi', 'Luca Ranieri', 'Alfred Duncan', 'Riccardo Sottil', 'Alessandro Bianco', 'Louis Munteanu', 'Aleksandr Kokorin']",12,15,4,4,11,14,498,640,13,12,11,13,12,7,17,4,4,2,3,6,18,19,71,62,3,0,2,1
https://fbref.com/en/matches/b2c86bfc/Cagliari-Spezia-August-23-2021-Serie-A,Serie A,Cagliari,Spezia,2,2,2.8,0.8,0-1-0,0-1-0,['João Pedro'],"['Emmanuel Gyasi', 'Simone Bastoni']",['João Pedro'],[],[],[],['62’'],"['7’', '58’']",['66’'],[],[],[],Leonardo Semplici,Thiago Motta,João Pedro,Giulio Maggiore,2021-08-23,18:30,5387,"Unipol Domus, Cagliari",Francesco Fourneau,Francesco Fiore,Gamal Mokhtar,Andrea Colombo,Marco Piccinini,3-4-3,3-4-3,"['Alessio Cragno', 'Diego Godín', 'Răzvan Marin', 'João Pedro', 'Alessandro Deiola', 'Kevin Strootman', 'Nahitan Nández', 'Dalbert Henrique', 'Leonardo Pavoletti', 'Sebastian Walukiewicz', 'Andrea Carboni']","['Jeroen Zoet', 'Daniele Verde', 'Emmanuel Gyasi', 'Petko Hristov', 'Ebrima Colley', 'Simone Bastoni', 'Salvador Ferrer', 'Giulio Maggiore', 'Kelvin Amian', 'Martin Erlic', 'Dimitris Nikolaou']","['Simone Aresti', 'Boris Radunović', 'Giovanni Simeone', 'Giorgio Altare', 'Gastón Pereiro', 'Christian Oliva', 'Charalambos Lykogiannis', 'Luca Ceppitelli', 'Gabriele Zappa', 'Nicolò Cavuoti', 'Alberto Grassi', 'Damir Ceter']","['Petar Zovko', 'Ivan Provedel', 'Samuel Mráz', 'Luca Vignali', 'Nicolò Bertola']",17,15,11,4,25,13,632,494,12,15,11,10,17,19,18,27,1,4,8,13,21,12,77,56,2,0,3,0
https://fbref.com/en/matches/2e04a6c0/Sampdoria-Milan-August-23-2021-Serie-A,Serie A,Sampdoria,Milan,0,1,1.1,0.9,0-0-1,1-0-0,[],['Brahim Díaz'],[],[],[],[],[],['9’'],[],[],[],[],Roberto D'Aversa,Stefano Pioli,Fabio Quagliarella,Davide Calabria,2021-08-23,20:45,5000,"Stadio Comunale Luigi Ferraris, Genova",Marco Guida,Sergio Ranghetti,Giovanni Baccini,Matteo Gariglio,Aleandro Di Paolo,4-4-2,4-2-3-1,"['Emil Audero', 'Morten Thorsby', 'Tommaso Augello', 'Albin Ekdal', 'Omar Colley', 'Maya Yoshida', 'Manolo Gabbiadini', 'Bartosz Bereszyński', 'Fabio Quagliarella', 'Mikkel Damsgaard', 'Antonio Candreva']","['Mike Maignan', 'Davide Calabria', 'Sandro Tonali', 'Olivier Giroud', 'Brahim Díaz', 'Rafael Leão', 'Theo Hernández', 'Fikayo Tomori', 'Simon Kjær', 'Rade Krunić', 'Alexis Saelemaekers']","['Nicola Ravaglia', 'Wladimiro Falcone', 'Julian Chabot', 'Adrien Silva', 'Valerio Verre', 'Fabio Depaoli', 'Kristoffer Askildsen', 'Lorenzo Tonelli', 'Alex Ferrari', 'Nicola Murru', 'Simone Trimboli']","['Ciprian Tătărușanu', 'Alessandro Plizzari', 'Ismaël Bennacer', 'Fodé Ballo-Touré', 'Samu Castillejo', 'Ante Rebić', 'Alessio Romagnoli', 'Pierre Kalulu', 'Alessandro Florenzi', 'Tommaso Pobega', 'Daniel Maldini', 'Matteo Gabbia']",17,15,8,3,21,14,538,564,18,16,7,9,18,16,14,16,3,3,9,8,18,13,65,66,3,0,1,0
